YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t,average_annual_growth_percent
2024,White,Sémillon,WORCESTER     ,High,9078,
2024,White,Viognier,WORCESTER     ,High,6364,
2024,White,Riesling,WORCESTER     ,High,11700,
2024,White,Other White,WORCESTER     ,High,7113,
2024,Red,Cabernet Franc,WORCESTER     ,High,6364,
2024,Red,Cabernet Sauvignon,WORCESTER     ,High,11043,
2024,Red,Carignan,WORCESTER     ,High,6364,
2024,Red,Cinsaut,WORCESTER     ,High,5709,
2024,Red,Gamay noir,WORCESTER     ,High,6364,
2024,Red,Merlot,WORCESTER     ,High,9733,
2024,Red,Petit Verdot,WORCESTER     ,High,8423,
2024,Red,Pinot noir,WORCESTER     ,High,17423,
2024,Red,Pinotage,WORCESTER     ,High,6364,
2024,Red,Roobernet,WORCESTER     ,High,6364,
2024,Red,Ruby Cabernet,WORCESTER     ,High,5054,
2024,Red,Shiraz,WORCESTER     ,High,12000,
2024,Red,Tinta Barocca,WORCESTER     ,High,4399,
2024,Red,Other Red,WORCESTER     ,High,6364,
2024,White,Bukettraube,OLIFANTSRIVER,Low ,2085,
2024,White,Crouchen,OLIFANTSRIVER,Low ,2085,
2024,White,Chardonnay,OLIFANTSRIVER,Low ,5055,
2024,White,Chenin Blanc,OLIFANTSRIVER,Low ,3744,
2024,White,Clairette blanche,OLIFANTSRIVER,Low ,3200,
2024,White,Colombar,OLIFANTSRIVER,Low ,3147,
2024,White,Palomino,OLIFANTSRIVER,Low ,5694,
2024,White,Gewurztraminer,OLIFANTSRIVER,Low ,2085,
2024,White,Muscat d'Alexandrie,OLIFANTSRIVER,Low ,4321,
2024,White,Muscat de Frontignan,OLIFANTSRIVER,Low ,5284,
2024,White,Pinot gris,OLIFANTSRIVER,Low ,5500,
2024,White,Sauvignon blanc,OLIFANTSRIVER,Low ,5054,
2024,White,Sémillon,OLIFANTSRIVER,Low ,5000,
2024,White,Viognier,OLIFANTSRIVER,Low ,4000,
2024,White,Riesling,OLIFANTSRIVER,Low ,2085,
2024,White,Other White,OLIFANTSRIVER,Low ,2085,
2024,Red,Cabernet Franc,OLIFANTSRIVER,Low ,6364,
2024,Red,Cabernet Sauvignon,OLIFANTSRIVER,Low ,5591,
2024,Red,Carignan,OLIFANTSRIVER,Low ,6000,
2024,Red,Cinsaut,OLIFANTSRIVER,Low ,6364,
2024,Red,Gamay noir,OLIFANTSRIVER,Low ,6364,
2024,Red,Merlot,OLIFANTSRIVER,Low ,5878,
2024,Red,Petit Verdot,OLIFANTSRIVER,Low ,6364,
2024,Red,Pinot noir,OLIFANTSRIVER,Low ,8000,
2024,Red,Pinotage,OLIFANTSRIVER,Low ,5380,
2024,Red,Roobernet,OLIFANTSRIVER,Low ,4872,
2024,Red,Ruby Cabernet,OLIFANTSRIVER,Low ,4448,
2024,Red,Shiraz,OLIFANTSRIVER,Low ,6103,
2024,Red,Tinta Barocca,OLIFANTSRIVER,Low ,4750,
2024,Red,Other Red,OLIFANTSRIVER,Low ,6364,
2024,White,Bukettraube,OLIFANTSRIVER,High,6600,
2024,White,Crouchen,OLIFANTSRIVER,High,6600,
2024,White,Chardonnay,OLIFANTSRIVER,High,7631,
2024,White,Chenin Blanc,OLIFANTSRIVER,High,4778,
2024,White,Clairette blanche,OLIFANTSRIVER,High,3744,
2024,White,Colombar,OLIFANTSRIVER,High,3744,
2024,White,Palomino,OLIFANTSRIVER,High,5709,
2024,White,Gewurztraminer,OLIFANTSRIVER,High,6600,
2024,White,Muscat d'Alexandrie,OLIFANTSRIVER,High,4399,
2024,White,Muscat de Frontignan,OLIFANTSRIVER,High,6600,
2024,White,Pinot gris,OLIFANTSRIVER,High,5709,
2024,White,Sauvignon blanc,OLIFANTSRIVER,High,5718,
2024,White,Sémillon,OLIFANTSRIVER,High,5054,
2024,White,Viognier,OLIFANTSRIVER,High,4399,
