Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
Red,Cinsaut,WORCESTER     ,Low ,20530,
Red,Gamay noir,WORCESTER     ,Low ,14116,
Red,Merlot,WORCESTER     ,Low ,13023,
Red,Petit Verdot,WORCESTER     ,Low ,14116,
Red,Pinot noir,WORCESTER     ,Low ,14116,
Red,Pinotage,WORCESTER     ,Low ,17281,
Red,Roobernet,WORCESTER     ,Low ,14116,
Red,Ruby Cabernet,WORCESTER     ,Low ,14116,
Red,Shiraz,WORCESTER     ,Low ,15163,
Red,Tinta Barocca,WORCESTER     ,Low ,14116,
Red,Other Red,WORCESTER     ,Low ,14116,
White,Bukettraube,WORCESTER     ,High,21404,
White,Crouchen,WORCESTER     ,High,21404,
White,Chardonnay,WORCESTER     ,High,15270,
White,Chenin Blanc,WORCESTER     ,High,24760,
White,Clairette blanche,WORCESTER     ,High,21404,
White,Colombar,WORCESTER     ,High,27850,
White,Palomino,WORCESTER     ,High,21404,
White,Gewurztraminer,WORCESTER     ,High,21404,
White,Muscat d'Alexandrie,WORCESTER     ,High,21404,
White,Muscat de Frontignan,WORCESTER     ,High,21404,
White,Pinot gris,WORCESTER     ,High,21404,
White,Sauvignon blanc,WORCESTER     ,High,18910,
White,Sémillon,WORCESTER     ,High,21404,
White,Viognier,WORCESTER     ,High,21404,
White,Riesling,WORCESTER     ,High,21404,
White,Other White,WORCESTER     ,High,21404,
Red,Cabernet Franc,WORCESTER     ,High,17560,
Red,Cabernet Sauvignon,WORCESTER     ,High,12790,
Red,Carignan,WORCESTER     ,High,17560,
Red,Cinsaut,WORCESTER     ,High,20968,
Red,Gamay noir,WORCESTER     ,High,17560,
Red,Merlot,WORCESTER     ,High,13430,
Red,Petit Verdot,WORCESTER     ,High,17560,
Red,Pinot noir,WORCESTER     ,High,17560,
Red,Pinotage,WORCESTER     ,High,19810,
Red,Roobernet,WORCESTER     ,High,17560,
Red,Ruby Cabernet,WORCESTER     ,High,17560,
Red,Shiraz,WORCESTER     ,High,17140,1977
Red,Tinta Barocca,WORCESTER     ,High,17560,
Red,Other Red,WORCESTER     ,High,17560,
White,Bukettraube,OLIFANTSRIVER,Low ,15730,
White,Crouchen,OLIFANTSRIVER,Low ,15730,
White,Chardonnay,OLIFANTSRIVER,Low ,12576,
White,Chenin Blanc,OLIFANTSRIVER,Low ,24590,
White,Clairette blanche,OLIFANTSRIVER,Low ,15730,
White,Colombar,OLIFANTSRIVER,Low ,28778,
White,Palomino,OLIFANTSRIVER,Low ,15730,
White,Gewurztraminer,OLIFANTSRIVER,Low ,15730,
