YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,White,Other White,WORCESTER     ,Low ,4877
2025,Red,Cabernet Franc,WORCESTER     ,Low ,17328
2025,Red,Cabernet Sauvignon,WORCESTER     ,Low ,5604
2025,Red,Carignan,WORCESTER     ,Low ,5604
2025,Red,Cinsaut,WORCESTER     ,Low ,7056
2025,Red,Gamay noir,WORCESTER     ,Low ,10065
2025,Red,Merlot,WORCESTER     ,Low ,9339
2025,Red,Petit Verdot,WORCESTER     ,Low ,8613
2025,Red,Pinot noir,WORCESTER     ,Low ,8613
2025,Red,Pinotage,WORCESTER     ,Low ,6330
2025,Red,Roobernet,WORCESTER     ,Low ,6330
2025,Red,Ruby Cabernet,WORCESTER     ,Low ,4877
2025,Red,Shiraz,WORCESTER     ,Low ,7886
2025,Red,Tinta Barocca,WORCESTER     ,Low ,4877
2025,Red,Other Red,WORCESTER     ,Low ,4877
2025,White,Bukettraube,WORCESTER     ,High,7055
2025,White,Crouchen,WORCESTER     ,High,14422
2025,White,Chardonnay,WORCESTER     ,High,10064
2025,White,Chenin Blanc,WORCESTER     ,High,5603
2025,White,Clairette blanche,WORCESTER     ,High,7055
2025,White,Colombar,WORCESTER     ,High,4876
2025,White,Palomino,WORCESTER     ,High,8612
2025,White,Gewurztraminer,WORCESTER     ,High,7055
2025,White,Muscat d'Alexandrie,WORCESTER     ,High,7055
2025,White,Muscat de Frontignan,WORCESTER     ,High,5603
2025,White,Pinot gris,WORCESTER     ,High,7055
2025,White,Sauvignon blanc,WORCESTER     ,High,12969
2025,White,Sémillon,WORCESTER     ,High,11517
2025,White,Viognier,WORCESTER     ,High,13696
2025,White,Riesling,WORCESTER     ,High,9338
2025,White,Other White,WORCESTER     ,High,7055
2025,Red,Cabernet Franc,WORCESTER     ,High,19506
2025,Red,Cabernet Sauvignon,WORCESTER     ,High,10064
2025,Red,Carignan,WORCESTER     ,High,6329
2025,Red,Cinsaut,WORCESTER     ,High,10064
