Year,Region,Category,Item,Avg_Cost,model_ready_blended_growth_percent
2024,STELLENBOSCH,Total Expenditure,Total Expenditure,80124.58,
2024,CAPE SOUTH COAST,Direkte koste,Gewasbeskerming (swam- en insekbeheer),8307.06,
2024,CAPE SOUTH COAST,Direkte koste,Herstel- en bindmateriaal,469.5,
2024,CAPE SOUTH COAST,Direkte koste,Koelkamer huur,0,
2024,CAPE SOUTH COAST,Direkte koste,"Kunsmis, blaar- en grondontledings",2395.41,
2024,CAPE SOUTH COAST,Direkte koste,Onkruiddoder,1818.3,
2024,CAPE SOUTH COAST,Direkte koste,Pakmateriaal,0,
2024,CAPE SOUTH COAST,Direkte koste,"Saad, organiese bemesting en materiaal",1327.02,
2024,CAPE SOUTH COAST,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,CAPE SOUTH COAST,Arbeid,Permanente arbeid,21890.82,
2024,CAPE SOUTH COAST,Arbeid,Seisoensarbeid en kontrakwerk,8886.93,
2024,CAPE SOUTH COAST,Arbeid,Toesig en bestuurshulp,8508.89,
2024,CAPE SOUTH COAST,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,5932.01,
2024,CAPE SOUTH COAST,Meganisasie,Herstel. onderdele en reparasies,5243.92,
2024,CAPE SOUTH COAST,Meganisasie,Lisensies en versekering - Voertuie / losbates,797.98,
2024,CAPE SOUTH COAST,Meganisasie,Vervoer gehuur,925.85,
2024,CAPE SOUTH COAST,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1516.01,
2024,CAPE SOUTH COAST,Vaste verbeteringe,Verskering - vaste verbeteringe,969.29,
2024,CAPE SOUTH COAST,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,180.24,
2024,CAPE SOUTH COAST,Algemene uitgawes,Admin - Sekuriteit,860.72,
2024,CAPE SOUTH COAST,Algemene uitgawes,Administrasie,4335.31,
2024,CAPE SOUTH COAST,Algemene uitgawes,Elektrisiteit,2855.43,
2024,CAPE SOUTH COAST,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",850.56,
2024,CAPE SOUTH COAST,Algemene uitgawes,Waterkoste / belasting,731.29,
2024,CAPE SOUTH COAST,Provision for renewal,Provision for renewal,20207,
2024,CAPE SOUTH COAST,Total Expenditure,Total Expenditure,99009.54,
2024,CAPE TOWN,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5559.36,
2024,CAPE TOWN,Direkte koste,Herstel- en bindmateriaal,322.74,
2024,CAPE TOWN,Direkte koste,Koelkamer huur,0,
2024,CAPE TOWN,Direkte koste,"Kunsmis, blaar- en grondontledings",1686.23,
2024,CAPE TOWN,Direkte koste,Onkruiddoder,2899.63,
2024,CAPE TOWN,Direkte koste,Pakmateriaal,18.15,
2024,CAPE TOWN,Direkte koste,"Saad, organiese bemesting en materiaal",372.21,
2024,CAPE TOWN,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,CAPE TOWN,Arbeid,Permanente arbeid,12707.62,
2024,CAPE TOWN,Arbeid,Seisoensarbeid en kontrakwerk,10547.43,
2024,CAPE TOWN,Arbeid,Toesig en bestuurshulp,4322.57,
2024,CAPE TOWN,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,3785.55,
2024,CAPE TOWN,Meganisasie,Herstel. onderdele en reparasies,6007.53,
2024,CAPE TOWN,Meganisasie,Lisensies en versekering - Voertuie / losbates,1219.43,
2024,CAPE TOWN,Meganisasie,Vervoer gehuur,647.92,
2024,CAPE TOWN,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1198.86,
2024,CAPE TOWN,Vaste verbeteringe,Verskering - vaste verbeteringe,680.07,
2024,CAPE TOWN,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,265.98,
2024,CAPE TOWN,Algemene uitgawes,Admin - Sekuriteit,248.17,
2024,CAPE TOWN,Algemene uitgawes,Administrasie,5105.62,
2024,CAPE TOWN,Algemene uitgawes,Elektrisiteit,1949.08,
2024,CAPE TOWN,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",765.63,
2024,CAPE TOWN,Algemene uitgawes,Waterkoste / belasting,624.55,
2024,CAPE TOWN,Provision for renewal,Provision for renewal,16886,
2024,CAPE TOWN,Total Expenditure,Total Expenditure,77820.33,
2024,SWARTLAND,Direkte koste,Gewasbeskerming (swam- en insekbeheer),3848.59,
2024,SWARTLAND,Direkte koste,Herstel- en bindmateriaal,303.33,
2024,SWARTLAND,Direkte koste,Koelkamer huur,0,
2024,SWARTLAND,Direkte koste,"Kunsmis, blaar- en grondontledings",858.23,
2024,SWARTLAND,Direkte koste,Onkruiddoder,1874.08,
2024,SWARTLAND,Direkte koste,Pakmateriaal,0,
2024,SWARTLAND,Direkte koste,"Saad, organiese bemesting en materiaal",376.85,
2024,SWARTLAND,Direkte koste,Veevoer en medisyne / Droogmiddels,0,
2024,SWARTLAND,Arbeid,Permanente arbeid,8203.54,
2024,SWARTLAND,Arbeid,Seisoensarbeid en kontrakwerk,7774.34,
2024,SWARTLAND,Arbeid,Toesig en bestuurshulp,1576.55,
2024,SWARTLAND,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,3633.83,
2024,SWARTLAND,Meganisasie,Herstel. onderdele en reparasies,2924.89,
2024,SWARTLAND,Meganisasie,Lisensies en versekering - Voertuie / losbates,552.74,
2024,SWARTLAND,Meganisasie,Vervoer gehuur,887.95,
2024,SWARTLAND,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),713.06,
2024,SWARTLAND,Vaste verbeteringe,Verskering - vaste verbeteringe,288.34,
2024,SWARTLAND,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,28.19,
2024,SWARTLAND,Algemene uitgawes,Admin - Sekuriteit,104.07,
2024,SWARTLAND,Algemene uitgawes,Administrasie,1881.86,
2024,SWARTLAND,Algemene uitgawes,Elektrisiteit,1178.11,
2024,SWARTLAND,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",304.22,
2024,SWARTLAND,Algemene uitgawes,Waterkoste / belasting,1435.42,
2024,SWARTLAND,Provision for renewal,Provision for renewal,13452,
2024,SWARTLAND,Total Expenditure,Total Expenditure,52200.19,
2025,BREEDEKLOOF,Direkte koste,Gewasbeskerming (swam- en insekbeheer),6037,9.726198759
2025,BREEDEKLOOF,Direkte koste,Herstel- en bindmateriaal,395,0.125815156
2025,BREEDEKLOOF,Direkte koste,Koelkamer huur,0,0
2025,BREEDEKLOOF,Direkte koste,"Kunsmis, blaar- en grondontledings",4031,8.825153901
2025,BREEDEKLOOF,Direkte koste,Onkruiddoder,2150,7.373788384
2025,BREEDEKLOOF,Direkte koste,Pakmateriaal,0,0
2025,BREEDEKLOOF,Direkte koste,"Saad, organiese bemesting en materiaal",2856,6.999564785
2025,BREEDEKLOOF,Direkte koste,Veevoer en medisyne / Droogmiddels,0,0
2025,BREEDEKLOOF,Arbeid,Permanente arbeid,13174,6.422850851
2025,BREEDEKLOOF,Arbeid,Seisoensarbeid en kontrakwerk,3316,8.004926008
2025,BREEDEKLOOF,Arbeid,Toesig en bestuurshulp,3714,6.680567582
2025,BREEDEKLOOF,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4649,2.481025047
2025,BREEDEKLOOF,Meganisasie,Herstel. onderdele en reparasies,4993,6.10395451
2025,BREEDEKLOOF,Meganisasie,Lisensies en versekering - Voertuie / losbates,942,4.832445596
2025,BREEDEKLOOF,Meganisasie,Vervoer gehuur,212,0.083458453
2025,BREEDEKLOOF,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2701,3.400037918
2025,BREEDEKLOOF,Vaste verbeteringe,Verskering - vaste verbeteringe,556,5.147008173
2025,BREEDEKLOOF,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0,8.438293136
2025,BREEDEKLOOF,Algemene uitgawes,Admin - Sekuriteit,0,8.438293136
2025,BREEDEKLOOF,Algemene uitgawes,Administrasie,2127,8.438293136
2025,BREEDEKLOOF,Algemene uitgawes,Elektrisiteit,6467,6.74181912
2025,BREEDEKLOOF,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",416,3.11704097
2025,BREEDEKLOOF,Algemene uitgawes,Waterkoste / belasting,561,8.826398885
2025,BREEDEKLOOF,Provision for renewal,Provision for renewal,19377,6.254122754
2025,BREEDEKLOOF,Total Expenditure,Total Expenditure,78674,
2025,ROBERTSON,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5273,10.53516365
2025,ROBERTSON,Direkte koste,Herstel- en bindmateriaal,398,1.311030811
2025,ROBERTSON,Direkte koste,Koelkamer huur,0,0
2025,ROBERTSON,Direkte koste,"Kunsmis, blaar- en grondontledings",5050,11.96109877
2025,ROBERTSON,Direkte koste,Onkruiddoder,2267,9.520393996
2025,ROBERTSON,Direkte koste,Pakmateriaal,0,0
2025,ROBERTSON,Direkte koste,"Saad, organiese bemesting en materiaal",1055,10.09575095
2025,ROBERTSON,Direkte koste,Veevoer en medisyne / Droogmiddels,0,0
2025,ROBERTSON,Arbeid,Permanente arbeid,10046,6.743868323
2025,ROBERTSON,Arbeid,Seisoensarbeid en kontrakwerk,8301,12.2301836
2025,ROBERTSON,Arbeid,Toesig en bestuurshulp,3599,1.494581288
2025,ROBERTSON,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4079,6.665412881
2025,ROBERTSON,Meganisasie,Herstel. onderdele en reparasies,6050,7.859212153
2025,ROBERTSON,Meganisasie,Lisensies en versekering - Voertuie / losbates,833,2.427349571
2025,ROBERTSON,Meganisasie,Vervoer gehuur,2073,7.057074323
2025,ROBERTSON,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2933,16.20735191
2025,ROBERTSON,Vaste verbeteringe,Verskering - vaste verbeteringe,655,4.100141919
2025,ROBERTSON,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0,3.716185901
2025,ROBERTSON,Algemene uitgawes,Admin - Sekuriteit,0,3.716185901
2025,ROBERTSON,Algemene uitgawes,Administrasie,2087,3.716185901
2025,ROBERTSON,Algemene uitgawes,Elektrisiteit,5892,5.126032092
2025,ROBERTSON,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",520,5.434030209
2025,ROBERTSON,Algemene uitgawes,Waterkoste / belasting,1421,2.503638115
2025,ROBERTSON,Provision for renewal,Provision for renewal,20060,6.748061656
2025,ROBERTSON,Total Expenditure,Total Expenditure,82592,
2025,WORCESTER,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5542,8.893973047
2025,WORCESTER,Direkte koste,Herstel- en bindmateriaal,336,-1.840020839
2025,WORCESTER,Direkte koste,Koelkamer huur,0,0
2025,WORCESTER,Direkte koste,"Kunsmis, blaar- en grondontledings",5224,12.21161575
2025,WORCESTER,Direkte koste,Onkruiddoder,2260,10.05593152
2025,WORCESTER,Direkte koste,Pakmateriaal,0,0
2025,WORCESTER,Direkte koste,"Saad, organiese bemesting en materiaal",505,5.68389943
2025,WORCESTER,Direkte koste,Veevoer en medisyne / Droogmiddels,0,0
2025,WORCESTER,Arbeid,Permanente arbeid,14323,8.034185818
2025,WORCESTER,Arbeid,Seisoensarbeid en kontrakwerk,1707,13.9274742
2025,WORCESTER,Arbeid,Toesig en bestuurshulp,3074,2.246323551
2025,WORCESTER,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4539,3.546268216
2025,WORCESTER,Meganisasie,Herstel. onderdele en reparasies,5148,7.503975972
2025,WORCESTER,Meganisasie,Lisensies en versekering - Voertuie / losbates,1130,6.96549128
2025,WORCESTER,Meganisasie,Vervoer gehuur,330,6.902471984
2025,WORCESTER,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),3080,16.19782593
2025,WORCESTER,Vaste verbeteringe,Verskering - vaste verbeteringe,831,8.601714568
2025,WORCESTER,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0,8.440610109
