Region,Category,Item,Avg_Cost
STELLENBOSCH,Arbeid,Toesig en bestuurshulp,5661
STELLENBOSCH,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4008
STELLENBOSCH,Meganisasie,Herstel. onderdele en reparasies,4833
STELLENBOSCH,Meganisasie,Lisensies en versekering - Voertuie / losbates,981
STELLENBOSCH,Meganisasie,Vervoer gehuur,355
STELLENBOSCH,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2081
STELLENBOSCH,Vaste verbeteringe,Verskering - vaste verbeteringe,553
STELLENBOSCH,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
STELLENBOSCH,Algemene uitgawes,Admin - Sekuriteit,0
STELLENBOSCH,Algemene uitgawes,Administrasie,3937
STELLENBOSCH,Algemene uitgawes,Elektrisiteit,2528
STELLENBOSCH,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",588
STELLENBOSCH,Algemene uitgawes,Waterkoste / belasting,1081
STELLENBOSCH,Provision for renewal,Provision for renewal,17874
STELLENBOSCH,Total Expenditure,Total Expenditure,83533
CAPE SOUTH COAST,Direkte koste,Gewasbeskerming (swam- en insekbeheer),8979
CAPE SOUTH COAST,Direkte koste,Herstel- en bindmateriaal,483
CAPE SOUTH COAST,Direkte koste,Koelkamer huur,0
CAPE SOUTH COAST,Direkte koste,"Kunsmis, blaar- en grondontledings",3591
CAPE SOUTH COAST,Direkte koste,Onkruiddoder,2526
CAPE SOUTH COAST,Direkte koste,Pakmateriaal,0
CAPE SOUTH COAST,Direkte koste,"Saad, organiese bemesting en materiaal",1345
CAPE SOUTH COAST,Direkte koste,Veevoer en medisyne / Droogmiddels,0
CAPE SOUTH COAST,Arbeid,Permanente arbeid,22940
CAPE SOUTH COAST,Arbeid,Seisoensarbeid en kontrakwerk,10036
CAPE SOUTH COAST,Arbeid,Toesig en bestuurshulp,8355
CAPE SOUTH COAST,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,5868
CAPE SOUTH COAST,Meganisasie,Herstel. onderdele en reparasies,6007
CAPE SOUTH COAST,Meganisasie,Lisensies en versekering - Voertuie / losbates,1198
CAPE SOUTH COAST,Meganisasie,Vervoer gehuur,1428
CAPE SOUTH COAST,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1792
CAPE SOUTH COAST,Vaste verbeteringe,Verskering - vaste verbeteringe,1060
CAPE SOUTH COAST,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,0
CAPE SOUTH COAST,Algemene uitgawes,Admin - Sekuriteit,0
CAPE SOUTH COAST,Algemene uitgawes,Administrasie,4413
CAPE SOUTH COAST,Algemene uitgawes,Elektrisiteit,2561
CAPE SOUTH COAST,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",684
CAPE SOUTH COAST,Algemene uitgawes,Waterkoste / belasting,1030
CAPE SOUTH COAST,Provision for renewal,Provision for renewal,21154
CAPE SOUTH COAST,Total Expenditure,Total Expenditure,105450
CAPE TOWN,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5049.76
CAPE TOWN,Direkte koste,Herstel- en bindmateriaal,565.09
CAPE TOWN,Direkte koste,Koelkamer huur,0
CAPE TOWN,Direkte koste,"Kunsmis, blaar- en grondontledings",2207.44
CAPE TOWN,Direkte koste,Onkruiddoder,1859.06
CAPE TOWN,Direkte koste,Pakmateriaal,78.87
CAPE TOWN,Direkte koste,"Saad, organiese bemesting en materiaal",551.18
CAPE TOWN,Direkte koste,Veevoer en medisyne / Droogmiddels,275.34
CAPE TOWN,Arbeid,Permanente arbeid,11937.02
CAPE TOWN,Arbeid,Seisoensarbeid en kontrakwerk,11263.92
CAPE TOWN,Arbeid,Toesig en bestuurshulp,4536.81
CAPE TOWN,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,5069.73
CAPE TOWN,Meganisasie,Herstel. onderdele en reparasies,5610.48
CAPE TOWN,Meganisasie,Lisensies en versekering - Voertuie / losbates,1619.06
CAPE TOWN,Meganisasie,Vervoer gehuur,514.59
CAPE TOWN,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),2024.9
CAPE TOWN,Vaste verbeteringe,Verskering - vaste verbeteringe,693.83
