Region,Category,Item,Avg_Cost
PAARL,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4506.19
PAARL,Meganisasie,Herstel. onderdele en reparasies,5006.41
PAARL,Meganisasie,Lisensies en versekering - Voertuie / losbates,671.92
PAARL,Meganisasie,Vervoer gehuur,609.39
PAARL,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1108.89
PAARL,Vaste verbeteringe,Verskering - vaste verbeteringe,518.19
PAARL,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,162.82
PAARL,Algemene uitgawes,Admin - Sekuriteit,275.18
PAARL,Algemene uitgawes,Administrasie,1846.5
PAARL,Algemene uitgawes,Elektrisiteit,4389.89
PAARL,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",357.05
PAARL,Algemene uitgawes,Waterkoste / belasting,1057.69
PAARL,Provision for renewal,Provision for renewal,17152
PAARL,Total Expenditure,Total Expenditure,70494.01
STELLENBOSCH,Direkte koste,Gewasbeskerming (swam- en insekbeheer),5610.08
STELLENBOSCH,Direkte koste,Herstel- en bindmateriaal,498.71
STELLENBOSCH,Direkte koste,Koelkamer huur,0
STELLENBOSCH,Direkte koste,"Kunsmis, blaar- en grondontledings",1812.08
STELLENBOSCH,Direkte koste,Onkruiddoder,2342.18
STELLENBOSCH,Direkte koste,Pakmateriaal,0
STELLENBOSCH,Direkte koste,"Saad, organiese bemesting en materiaal",680.97
STELLENBOSCH,Direkte koste,Veevoer en medisyne / Droogmiddels,0
STELLENBOSCH,Arbeid,Permanente arbeid,15077.58
STELLENBOSCH,Arbeid,Seisoensarbeid en kontrakwerk,10359.53
STELLENBOSCH,Arbeid,Toesig en bestuurshulp,6305.26
STELLENBOSCH,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,4791.32
STELLENBOSCH,Meganisasie,Herstel. onderdele en reparasies,4826.79
STELLENBOSCH,Meganisasie,Lisensies en versekering - Voertuie / losbates,693.63
STELLENBOSCH,Meganisasie,Vervoer gehuur,530.9
STELLENBOSCH,Vaste verbeteringe,Herstelwerk en onderhoud (vaste verbeteringe),1647.95
STELLENBOSCH,Vaste verbeteringe,Verskering - vaste verbeteringe,613.91
STELLENBOSCH,Algemene uitgawes,Admin - Akkreditasie en nakomingskostes,107.45
STELLENBOSCH,Algemene uitgawes,Admin - Sekuriteit,662.3
STELLENBOSCH,Algemene uitgawes,Administrasie,2629.36
STELLENBOSCH,Algemene uitgawes,Elektrisiteit,2468.71
STELLENBOSCH,Algemene uitgawes,"Grond-, eiendoms, munisipale belasting",683.11
STELLENBOSCH,Algemene uitgawes,Waterkoste / belasting,809.54
STELLENBOSCH,Provision for renewal,Provision for renewal,16965
STELLENBOSCH,Total Expenditure,Total Expenditure,80124.58
CAPE SOUTH COAST,Direkte koste,Gewasbeskerming (swam- en insekbeheer),8307.06
CAPE SOUTH COAST,Direkte koste,Herstel- en bindmateriaal,469.5
CAPE SOUTH COAST,Direkte koste,Koelkamer huur,0
CAPE SOUTH COAST,Direkte koste,"Kunsmis, blaar- en grondontledings",2395.41
CAPE SOUTH COAST,Direkte koste,Onkruiddoder,1818.3
CAPE SOUTH COAST,Direkte koste,Pakmateriaal,0
CAPE SOUTH COAST,Direkte koste,"Saad, organiese bemesting en materiaal",1327.02
CAPE SOUTH COAST,Direkte koste,Veevoer en medisyne / Droogmiddels,0
CAPE SOUTH COAST,Arbeid,Permanente arbeid,21890.82
CAPE SOUTH COAST,Arbeid,Seisoensarbeid en kontrakwerk,8886.93
CAPE SOUTH COAST,Arbeid,Toesig en bestuurshulp,8508.89
CAPE SOUTH COAST,Meganisasie,Brandstof (petrol en diesel) en smeermiddels,5932.01
CAPE SOUTH COAST,Meganisasie,Herstel. onderdele en reparasies,5243.92
CAPE SOUTH COAST,Meganisasie,Lisensies en versekering - Voertuie / losbates,797.98
